"features","lasso_selection_frequency","lasso_coefficients","X.IncMSE"
"Directs_Out_Revenue",0.034,-0.000631383689302323,0.324593598758843
"Directs_In_Revenue",0,0,0.168849140863122
"Subgraph_Revenue",1,0.409734687850576,1.26550068264868
"Weighted_PageRank",1,1238.40033052253,0.15254710986417
"Degrees_Out",0,0,0.0436589452256516
"Degrees_In",0.058,-0.00152026783805625,0.0037359402844679
"Betweenness_Centrality",0.265,0.00014301026889319,0.0593626557466252
"Closeness_Centrality_FullGraph",1,-22055557014.4824,0.204400699614835
"Closeness_Centrality_Subgraph",0.004,4.85143696149354e-05,0.0272629708127554
"Density_Subgraph",1,-0.56910219707295,0.119962724424172
"Local_Clustering",0.192,-0.00621270502122574,0.00116584966957759
"Mean_Edge_Strength_Out",1,0.00815646928720287,0.0189470497244594
"Mean_Edge_Strength_In",0.007,-3.77544114017065e-05,0.014147820274803
