"features","lasso_selection_frequency","lasso_coefficients","X.IncMSE"
"Indvdl_Revenue",0.027,-0.000204506909151931,0.036362835975136
"Directs_In_Revenue",1,0.729871426388043,0.688217873154586
"Subgraph_Revenue",1,0.106794669872696,0.441782590491806
"Weighted_PageRank",1,-373.371325862687,0.0415686444453323
"Degrees_Out",1,0.0991278830421949,0.223182815085528
"Degrees_In",1,-0.222194196943937,0.0057468894740119
"Betweenness_Centrality",0.001,1.72075938238673e-07,0.0246489412882738
"Closeness_Centrality_FullGraph",0.986,-4865539122.62335,0.0968616488902413
"Closeness_Centrality_Subgraph",1,-0.0439125345126476,0.0243362024208021
"Density_Subgraph",1,-1.36075924433425,0.148949143837684
"Local_Clustering",0.005,3.21705810259008e-05,-0.000513212010046376
"Mean_Edge_Strength_Out",0.168,0.000183984977054088,0.00601768118290757
"Mean_Edge_Strength_In",0.004,-1.08986951053097e-05,0.00409654746439469
