"features","lasso_selection_frequency","lasso_coefficients","X.IncMSE"
"Indvdl_Revenue",0.904,0.00707345395103138,0.0359289934409906
"Directs_Out_Revenue",1,0.908586126566094,1.13868437291968
"Subgraph_Revenue",1,0.0134554539393479,0.373679349276393
"Weighted_PageRank",0.57,34.3810340534302,0.0553116284202953
"Degrees_Out",1,-0.0774597407837013,0.0955936294165552
"Degrees_In",1,0.369741751046012,0.123182644532578
"Betweenness_Centrality",0.001,-1.20983468672482e-07,0.0655037017236099
"Closeness_Centrality_FullGraph",0.997,2800239716.35595,0.117212154639832
"Closeness_Centrality_Subgraph",0.001,1.89611081842326e-06,0.0356219820713685
"Density_Subgraph",1,1.44554902750405,0.127494509723328
"Local_Clustering",0,0,-0.000921172713839528
"Mean_Edge_Strength_Out",0.007,-7.82734831215975e-06,0.011662688554319
"Mean_Edge_Strength_In",0.001,2.56173846386537e-06,0.011067156497182
