"features","lasso_selection_frequency","lasso_coefficients","X.IncMSE"
"Indvdl_Revenue",1,0.354020647399182,0.203190197640066
"Directs_Out_Revenue",1,0.351024054902514,0.524758665775219
"Directs_In_Revenue",1,0.197305707199009,0.207237186661023
"Weighted_PageRank",1,-2165.93230163973,0.260055998890988
"Degrees_Out",0.474,-0.00872350751228019,0.0542903600803248
"Degrees_In",0.206,0.0100410252732958,0.00872238457223326
"Betweenness_Centrality",0.948,-0.00263347540007386,0.063964079175288
"Closeness_Centrality_FullGraph",1,77756081098.6829,1.27319774842288
"Closeness_Centrality_Subgraph",0.056,5.99153052817047e-05,0.0298712692788191
"Density_Subgraph",0.354,0.0453834589940243,0.037077100656336
"Local_Clustering",0,0,-0.000550023768524776
"Mean_Edge_Strength_Out",0.976,-0.011716344752496,0.0141292934441597
"Mean_Edge_Strength_In",0.053,0.000298238442018508,0.0102792258717172
