"names","node","preds_indRev","preds_outRev","preds_inRev","preds_subRev"
"cuqhk",1,481.534162177575,1649.92702272773,613.545915584394,4797.30833281678
"qbwyk",2,NA,NA,NA,NA
"cojdl",3,634.073417758129,2156.71341676504,518.960566360728,3837.47489027137
"lhypp",4,1497.7574964622,7187.14396259501,1195.36351995804,6288.6233390171
"rurwr",5,601.810189886965,2550.42843271505,916.76884634828,6537.44671653971
"vlyrx",6,NA,NA,NA,NA
"mwcsa",7,NA,NA,NA,NA
"rzmas",8,NA,NA,NA,NA
"dbasf",9,NA,NA,NA,NA
"rpqap",10,363.592961005371,591.295180679718,395.996693140555,2024.22495428703
"syfum",11,NA,NA,NA,NA
"epcnb",12,NA,NA,NA,NA
"fobjm",13,NA,NA,NA,NA
"sxicc",14,567.762158981329,2037.180522319,829.803752719882,5151.67195135426
"zdvyn",15,NA,NA,NA,NA
"ntncq",16,NA,NA,NA,NA
"uifoy",17,691.706125409913,3382.36623630905,734.759203086567,4247.36424446718
"ghjth",18,NA,NA,NA,NA
"nppga",19,3436.73606757205,12089.2364846938,2136.4374525764,21016.1924393567
"yapmj",20,702.681493091026,1542.08521600713,620.365496986423,5441.1508543089
"oxexw",21,467.026340630881,734.850349526755,725.948149960519,2980.97092902825
"bwyyt",22,NA,NA,NA,NA
"yovbq",23,NA,NA,NA,NA
"hlkeo",24,350.407015550771,1032.26294016499,757.394376618631,3144.59143260581
"ckkns",25,NA,NA,NA,NA
"gmmnx",26,NA,NA,NA,NA
"dibkm",27,NA,NA,NA,NA
"nbspa",28,576.909692361352,2313.88052688407,1098.68352566589,5040.19972716405
"tizkk",29,NA,NA,NA,NA
"uodcm",30,1588.37313421312,1294.64126047452,285.453701699282,1864.98561693287
"cwcaz",31,NA,NA,NA,NA
"vyuzl",32,440.659715950331,1335.8587563362,948.68671342408,3641.14360678501
"tweka",33,531.548827461912,2245.68614921462,1251.6778892584,5852.60799565439
"krnfm",34,NA,NA,NA,NA
"wctlb",35,NA,NA,NA,NA
"hysec",36,NA,NA,NA,NA
"gdcvr",37,366.840694532297,976.789277615776,635.87013899392,2864.58044830448
"xrxet",38,NA,NA,NA,NA
"vpubc",39,447.436228837,942.929047775173,247.568930643455,1950.58751698258
"kcydp",40,561.423465933331,849.126303674781,200.046757728561,1598.13287610312
"udhmf",41,365.1996452264,736.660125432731,561.879795986084,2527.71455203809
"duobt",42,NA,NA,NA,NA
"dkbwa",43,NA,NA,NA,NA
"gelzm",44,NA,NA,NA,NA
"grubu",45,NA,NA,NA,NA
"llaxr",46,NA,NA,NA,NA
"xvsrq",47,420.05392821978,914.057706982368,304.72480794853,2541.99302169658
"qukis",48,487.263704351846,795.066764820561,325.833375037442,3480.61898944298
"zxmuo",49,848.342629598885,3594.23870842101,1541.8686617302,10817.536117433
"uqiya",50,NA,NA,NA,NA
"vjtlh",51,NA,NA,NA,NA
"oopvc",52,NA,NA,NA,NA
"lubcx",53,468.470743747314,702.40751194388,159.362556188045,1056.95643108566
"qitxu",54,NA,NA,NA,NA
"vfijv",55,547.539961530523,1093.86314611154,931.468600726041,5093.34259919328
"jsbpa",56,NA,NA,NA,NA
"iwtmh",57,NA,NA,NA,NA
"pninn",58,NA,NA,NA,NA
"vbxjx",59,NA,NA,NA,NA
"dhrat",60,NA,NA,NA,NA
"ajgcf",61,566.030937493235,550.364386868406,584.100942542203,1160.11187524935
"mkuju",62,NA,NA,NA,NA
"bubld",63,NA,NA,NA,NA
"rktsq",64,NA,NA,NA,NA
"qxrtk",65,565.078222767895,872.883587407197,1041.3952437054,2098.34878989979
"pxskw",66,NA,NA,NA,NA
"rhbkx",67,NA,NA,NA,NA
"scqli",68,NA,NA,NA,NA
"dudit",69,458.232006286084,661.303150562459,754.487801732371,1432.81521750094
"jbexd",70,312.526264762887,229.258031427638,198.274461256757,629.945034164588
"zfuin",71,NA,NA,NA,NA
"yrnyu",72,NA,NA,NA,NA
"tsrre",73,409.689052751845,547.047469846592,600.882660771146,1164.14717702545
"gimzz",74,NA,NA,NA,NA
